date,duration(min)
2018-07-20 07:11:00 PM,691
2018-07-20 12:01:00 PM,60
2018-07-19 07:20:00 PM,737
2018-07-19 11:46:00 AM,60
2018-07-18 07:48:00 PM,652
2018-07-18 12:25:00 PM,60
2018-07-18 03:00:00 AM,279
2018-07-17 07:06:00 PM,459
2018-07-17 10:45:00 AM,108
2018-07-16 06:47:00 PM,693
2018-07-16 12:00:00 PM,53
2018-07-15 06:46:00 PM,680
2018-07-15 10:51:00 AM,113
2018-07-14 06:26:00 PM,750
2018-07-14 10:09:00 AM,102
2018-07-13 07:21:00 PM,655
2018-07-13 11:46:00 AM,151
2018-07-12 07:10:00 PM,660
2018-07-12 12:46:00 PM,60
2018-07-11 07:13:00 PM,661
2018-07-11 11:50:00 AM,160
2018-07-10 06:33:00 PM,710
2018-07-10 11:31:00 AM,90
2018-07-09 07:27:00 PM,1063
2018-07-09 10:51:00 AM,144
2018-07-08 06:57:00 PM,711
2018-07-08 12:00:00 PM,104
2018-07-07 08:45:00 PM,698
2018-07-07 02:59:00 PM,76
2018-07-07 09:35:00 AM,76
2018-07-06 07:01:00 PM,620
2018-07-06 12:01:00 PM,60
2018-07-05 06:17:00 PM,713
2018-07-05 10:21:00 AM,100
2018-07-04 07:27:00 PM,661
2018-07-04 12:00:00 PM,60
2018-07-03 06:52:00 PM,727
2018-07-03 12:00:00 PM,60
2018-07-02 06:31:00 PM,690
2018-07-02 10:28:00 AM,136
2018-07-01 05:42:00 PM,742
2018-07-01 11:49:00 AM,31
2018-07-01 10:19:00 AM,85
2018-07-01 12:01:00 AM,365
2018-06-30 06:30:00 PM,270
2018-06-30 12:14:00 PM,38
2018-06-30 10:53:00 AM,78
2018-06-29 06:46:00 PM,666
2018-06-29 10:04:00 AM,75
2018-06-28 07:26:00 PM,634
2018-06-28 12:01:00 PM,60
2018-06-27 06:43:00 PM,664
2018-06-27 12:00:00 PM,60
2018-06-26 06:53:00 PM,647
2018-06-26 12:00:00 PM,60
2018-06-25 06:23:00 PM,731
2018-06-25 10:24:00 AM,72
2018-06-24 06:15:00 PM,691
2018-06-24 09:49:00 AM,100
2018-06-24 05:45:00 AM,42
2018-06-23 06:11:00 PM,678
2018-06-23 10:00:00 AM,75
2018-06-22 07:18:00 PM,614
